,단지명,단위면적가격,도로명,_GC_TYPE,_X,_Y
0,경남1,1747,언주로 110,정,127.0530857136165,37.48449199037127
1,개포자이,1782,개포로109길 69,정,127.07696883180556,37.49607949152329
2,개포래미안포레스트,3088,개포로 264,정,127.0556671621127,37.47738006200025
3,개포주공6단지,2289,개포로 516,정,127.0697706422035,37.48934736924039
4,래미안블레스티지,3808,선릉로 8,정,127.06264493041768,37.48254927289452
5,경남2차,2391,언주로 110,정,127.0530857136165,37.48449199037127
6,새롬(1164-12),1507,논현로2길 34,정,127.05295864617716,37.47318391437675
7,개포주공5단지,2838,삼성로4길 17,정,127.06903568024488,37.4879160321505
8,삼익대청아파트,2975,개포로109길 21,정,127.07642298546465,37.495378980949184
9,개포주공4단지,8810,삼성로 14,정,127.0720495275713,37.48506245868714
10,디에이치아너힐즈,3908,삼성로 11,정,127.0470728462042,37.246170422617936
11,현대2,2152,언주로 107,정,127.0502851894389,37.48194763519363
12,경남논현,1560,언주로116길 12,정,127.0381835176478,37.5106687452002
13,개포주공7단지,2381,개포로 516,정,127.0697706422035,37.48934736924039
14,논현동한화꿈에그린,1259,논현로111길 39,정,127.03042289110827,37.50682270198247
15,거평프리젠,1385,강남대로112길 41,정,127.02765513801178,37.50632313095912
16,논현아이파크,2294,언주로 615,정,127.036187151213,37.51064199449208
17,우성8,2375,개포로 411,정,127.06297442611506,37.48812000821726
18,동현아파트1~6,1742,언주로146길 18,정,127.03601312219922,37.51910505027313
19,로체샤르캐슬,1299,언주로136길 16,정,127.03687824183363,37.51718405016477
20,더원센트럴,1833,학동로53길 3-8,정,127.03968679643668,37.51719593062906
21,성원대치2단지아파트,3273,개포로109길 9,정,127.07425123856856,37.49453020440861
22,현대아파트3,2134,개포로 409,정,127.0609262733063,37.48755266856796
23,논현동월드메르디앙,1494,학동로38길 22,정,127.03416142824958,37.51351836532584
24,동양파라곤,1930,언주로130길 30,정,127.03826945180118,37.51508663211372
25,두영,1084,논현로124길 8,정,127.0324011646069,37.512181908473565
26,아크로힐스논현,2832,언주로 604,정,127.03944737213156,37.50938473854462
27,동부센트레빌,2259,언주로116길 6,정,127.03755317344746,37.510501330615696
28,쌍용,1235,도산대로50길 43,정,127.0381565011571,37.51964344835244
29,우민,1640,언주로136길 21,정,127.0373878742763,37.5178503469763
30,신동아(22),2639,강남대로146길 28,정,127.0235716713875,37.514975982364135
31,지고하임(101동),1062,학동로9길 21,정,127.02377856748735,37.51357971436568
32,한진로즈힐,2029,도산대로46길 21,정,127.03720300999936,37.52055549367053
33,한양수자인어반게이트,1325,봉은사로29길 35,정,127.03356686124326,37.50959962227349
34,개포우성2,2906,선릉로 120,정,127.06043594661216,37.490848926572895
35,두산위브1단지,1973,학동로46길 38,정,127.03885746853746,37.51368010856514
36,대우아이빌명문가(891-23),1030,선릉로90길 56,정,127.0538306520607,37.50503049812695
37,마일스디오빌,1125,학동로 165,정,127.02897838650968,37.51386195814821
38,대치아이파크,3304,선릉로 222,정,127.05475395652176,37.49587346546174
39,개포우성1,3800,선릉로 120,정,127.06043594661216,37.490848926572895
40,요진보네르,822,학동로5길 20,정,127.02297655266284,37.51309605504696
41,펜트힐루논현,2372,언주로 641,정,127.03487117200947,37.51393127972369
42,한화꿈에그린2차,1631,봉은사로21길 19,정,127.0308207988467,37.50751292039678
43,(977-),3210,도곡로93길 23,정,127.06487836595257,37.50181329572991
44,대치삼성,2619,도곡로78길 22,정,127.05935265790256,37.49682632022997
45,대치SKVIEW,3204,삼성로51길 25,정,127.05960046708914,37.49566088411062
46,롯데캐슬,2476,삼성로85길 11,정,127.05630084031432,37.50497851004006
47,선경2차(8동-12동),2945,삼성로 151,정,127.06383307136215,37.491488864763184
48,"쌍용대치아파트1동,2동,3동,5동,6동",3321,영동대로 210,정,127.0718238418146,37.49765095575421
49,대우아이빌멤버스(891-26),931,삼성로85길 42,정,127.05380070633812,37.50454905941741
50,래미안대치팰리스,3565,삼성로51길 35,정,127.06140428046923,37.49556483973639
51,"대치우성아파트1동,2동,3동,5동,6동,7동",2328,영동대로 230,정,127.0696055205464,37.499789934612174
52,대치동우정에쉐르1,1333,삼성로85길 38,정,127.05418042761474,37.50462170048983
53,테헤란로대우아이빌(891-6),1197,테헤란로 428,정,127.05418311657192,37.505691623479066
54,대치현대,2894,삼성로64길 5,정,127.06036676999868,37.50118366682907
55,쌍용대치2,2372,영동대로 220,정,127.07110311760697,37.49944565369377
56,아름빌(889-74),983,선릉로86길 11,정,127.0505871248049,37.50340477025462
57,한보미도맨션1,2996,삼성로 150,정,127.0704236668595,37.494227011484526
58,SK허브프리모,1118,강남대로 240,정,127.03442969712242,37.48526001617586
59,선릉역대우아이빌(890-49),950,테헤란로64길 9,정,127.05158617560348,37.5044965070553
60,선경3차,2727,남부순환로395길 10,정,127.06091121655004,37.49418302515768
61,선경1차(1동-7동),2810,삼성로 151,정,127.06383307136215,37.491488864763184
62,청암빌라트,1646,남부순환로391길 7,정,127.05717351318502,37.49246640353415
63,대우디오빌,934,강남대로 256,정,127.03353754156868,37.48648595357202
64,은마,3247,삼성로 212,정,127.06587663279744,37.498031256928016
65,도곡3차아이파크,1604,도곡로14길 21,정,127.03789098838338,37.48965512051845
66,그랜빌캐슬,1651,남부순환로379길 35,정,127.04478762804088,37.48875349363003
67,PLUMHILLS,1019,남부순환로373길 26,정,127.04412166379794,37.48758817003863
68,럭키(963),2771,논현로 213,정,127.0408433005488,37.489852311855294
69,도곡우성아파트,2647,남부순환로363길 49,정,127.03736801693717,37.48824695112166
70,현대1,2440,영동대로57길 28,정,127.06531696071367,37.49992656176988
71,한보미도맨션2,2671,삼성로 150,정,127.0704236668595,37.494227011484526
72,포스코더샵,2071,삼성로 417,정,127.0575655465506,37.50378805173251
73,대림아크로빌,1939,언주로30길 13,정,127.05141577213776,37.488536380284295
74,대명비발디,1199,도곡로6길 18,정,127.03435626465736,37.4890724831336
75,타워팰리스1,2890,언주로30길 56,정,127.05403745297284,37.48861661179981
76,우성4,2418,언주로 117,정,127.0485990388709,37.4850986757716
77,도곡렉슬,3682,선릉로 221,정,127.05366421373644,37.49364659869098
78,삼성,1973,남부순환로379길 14,정,127.04640631219824,37.48782140258372
79,도곡지웰카운티101동,1710,남부순환로373길 3,정,127.04357944955753,37.48635121175769
80,도곡스타빌,1593,남부순환로370길 20,정,127.04256030701276,37.48412361160677
81,도곡1차아이파크,2231,도곡로28길 8,정,127.04352041207552,37.49196375762238
82,LG선릉에클라트(B),889,테헤란로63길 12,정,127.05094809924056,37.50611472595473
83,도곡쌍용예가,2074,남부순환로363길 30,정,127.03819942238562,37.48762195535295
84,현대비젼21,1557,언주로30길 10,정,127.05155437160388,37.48733899730933
85,래미안도곡카운티,3318,도곡로 320,정,127.05085206003496,37.495326892461215
86,타워팰리스3,2500,언주로30길 26,정,127.05282268672693,37.48717525011823
87,우성사원5,3239,언주로29길 34,정,127.04784705941972,37.48592685563852
88,매봉삼성,1795,언주로 203,정,127.0488256828384,37.48916648377118
89,삼익,2067,논현로 218,정,127.041893440153,37.49052790222808
90,아카데미스위트1,1424,언주로30길 21,정,127.0520140124633,37.48886404165429
91,삼성동롯데캐슬킹덤,1743,선릉로112길 53,정,127.04809567654706,37.51260353987547
92,우성캐릭터199,1924,언주로 118,정,127.05150821888604,37.48631757958834
93,럭키(462),2600,남부순환로 2740,정,127.04614516599842,37.48630070460639
94,타워팰리스2,2563,언주로30길 57,정,127.05500640975843,37.48993264731888
95,삼성래미안,2750,남부순환로 2803,정,127.0510739108514,37.49020350106618
96,삼성동헤렌하우스2(82-1),1902,영동대로128길 45,정,127.061118965817,37.51937587219636
97,한신엠비씨,2171,논현로 205,정,127.04102753398617,37.48758430253852
98,현대그린1,2200,논현로51길 25,정,127.0395311086852,37.48904409237719
99,래미안삼성1차(103-22),2895,영동대로114길 56,정,127.06309425650132,37.51646009457807
100,아델하우스,2264,학동로82길 29,정,127.05244474804768,37.51703134126879
101,현대향목빌라트,1265,남부순환로379길 26,정,127.0456556867069,37.48858557655
102,이안애빌,1654,봉은사로68길 65,정,127.05340891481464,37.50859197449316
103,롯데캐슬프레미어,2393,선릉로126길 22,정,127.04413716817098,37.5147371640275
104,래미안라클래시,4050,삼성로 651,정,127.05003562762616,37.51683470571732
105,힐데스하임빌라,2041,남부순환로377길 26,정,127.04497755309252,37.48802592558109
106,중명하니빌,1304,남부순환로365길 5,정,127.03898415507145,37.48590161777511
107,삼성동브라운스톤레전드,2009,선릉로 660,정,127.042332339574,37.51555041922232
108,강남신동아파밀리에1단지,1625,헌릉로590길 100,정,127.10102218572456,37.463525685734126
109,삼성동롯데아파트,2975,학동로 432,정,127.0487430687216,37.517482356748936
110,포스코트,1965,남부순환로381길 15,정,127.04766460732654,37.48793439024766
111,삼성월드타워,1905,학동로 408,정,127.04408250657448,37.51747257082317
112,신동아듀크빌,1455,봉은사로113길 33,정,127.06542703645049,37.517434054324525
113,LG선릉에클라트(A),1042,선릉로100길 42,정,127.05084765672126,37.50654429206528
114,강남데시앙포레,2194,광평로34길 55,정,127.09236464659304,37.480846512082415
115,쌍용플래티넘,1645,봉은사로 474,정,127.05149859634062,37.51225146033335
116,대성아파트,1029,논현로151길 45,정,127.02437183250868,37.51949950721872
117,삼성동힐스테이트 1단지,4016,학동로68길 29,정,127.04774575810345,37.51563076073733
118,삼성동센트럴아이파크,3467,삼성로 629,정,127.05149122242769,37.51527999305828
119,아이파크,3448,영동대로 640,정,127.0583118883463,37.51871462846419
120,삼성동중앙하이츠빌리지,3106,학동로68길 30,정,127.04653673691377,37.51619938819355
121,강남데시앙파크,1382,헌릉로590길 63,정,127.10189253904782,37.46071365273061
122,유로미아파트A동,1473,압구정로14길 16,정,127.02301094792952,37.52333649648889
123,레미안삼성1차(101동),2365,영동대로114길 56,정,127.06309425650132,37.51646009457807
