House,Station,Distance
(1101-1),구로디지털단지,0.19431417382351143
(160-16),고려대(종암),0.6630965260555106
(20-3),어린이대공원(세종대),0.5732046312459054
(60-1),혜화,0.33328144246046626
(685-103),신대방삼거리,0.9233985428638937
(716-17),남구로,0.2927123476160422
(717-15)경원주택5동,남구로,0.3252849090709876
(718-22),남구로,0.3784345734262337
(739-29),남구로,0.3254781689066691
(740-11),남구로,0.36154503687850903
(744-16),남구로,0.30155769347771355
(744-21),남구로,0.31542822585516817
(745-40),남구로,0.21967240419278813
(746-3),남구로,0.2338018266804879
(747-35),남구로,0.17636621494862983
(747-53),남구로,0.15364754326303554
(749-4),남구로,0.3016029431748021
(749-46),남구로,0.3027296122237435
(749-49),남구로,0.27656243410865017
(750-15),남구로,0.29579187639859017
(750-7),남구로,0.2756485710495142
(751-37),남구로,0.34341946259722816
(751-5),남구로,0.33457441172190233
(752-10),남구로,0.37673524533903496
(770-4),남구로,0.3693254459559983
(771-2),남구로,0.2966505542920164
(771-30),남구로,0.2662259897884572
(779-13),남구로,0.34815845666482
(779-26),남구로,0.35137447028689944
(780-50),남구로,0.29161119938117486
(780-58),남구로,0.2881276148798572
(791-21)태영빌라,남구로,0.2623332161066756
(791-4),남구로,0.2807994500652813
(792-86),남구로,0.20437928509757797
(793-24),남구로,0.2182186744249168
(793-54),남구로,0.16949428346931086
(794-17),남구로,0.17354420853499786
(796-51),남구로,0.24435165074326243
(797-19),남구로,0.2612196961999094
(797-25),남구로,0.21948835528716573
(797-5),남구로,0.21078588043743532
(798-21),남구로,0.10638799830121799
(798-22),남구로,0.12676555682525964
(799-11),남구로,0.18060064209600246
(806-63)태영빌라,남구로,0.11825802274288125
(977-),삼성(무역센터),0.7997527697338347
2차한양아파트,송파,0.5917289786243312
3RU-City,금천구청,1.053983689708543
67디벨리움,태릉입구,0.14615828846772627
AirPalace(619-7),공항시장,0.2775327714930253
AndPra레지던스,까치산,0.22106944854310712
Bienestar,선정릉,0.1835470664829866
CG아름채목동아파트,염창,0.540585070678153
CJ나인파크,삼각지,0.38316230026040077
CS타워,종로5가,0.5064612986185816
DK밸리뷰서초2차,남부터미널(예술의전당),0.3737527444455384
DMC금호리첸시아,디지털미디어시티,1.3817115062378535
DMC덕원,디지털미디어시티,0.2344323368520314
DMC두산위브,증산(명지대앞),0.7406575222906538
DMC래미안e편한세상,디지털미디어시티,0.9180506586065
DMC래미안클라시스,증산(명지대앞),0.9068416165661172
DMC롯데캐슬더퍼스트,디지털미디어시티,1.317348811515837
DMC마포청구아파트,디지털미디어시티,0.3134494266878752
DMC상암센트럴파크1단지,월드컵경기장(성산),0.48806490949488757
DMC상암센트럴파크2단지,디지털미디어시티,0.5233402457725685
DMC서부인터빌,증산(명지대앞),0.2891750759397984
DMC센트럴아이파크,증산(명지대앞),1.0223087096144936
DMC센트럴자이(2단지),디지털미디어시티,0.3941550003260919
DMC센트럴자이(3단지),디지털미디어시티,0.3941550003260919
DMC센트럴자이(4단지),디지털미디어시티,0.3941550003260919
DMC센트레빌,증산(명지대앞),1.0136840435061436
DMC아이파크,증산(명지대앞),1.0272562307305226
DMC에코자이,증산(명지대앞),1.1268791060971401
DMC우방,증산(명지대앞),0.5899613519413887
DMC월드,증산(명지대앞),0.30914349467690644
DMC자이1단지,디지털미디어시티,0.39340450560901485
DMC파크뷰자이1단지,디지털미디어시티,1.2102960305218688
DMC파크뷰자이2단지,디지털미디어시티,1.2102960305218688
DMC파크뷰자이3단지,디지털미디어시티,1.2102960305218688
DMC파크뷰자이4단지,디지털미디어시티,1.2102960305218688
DMC파크뷰자이5단지,디지털미디어시티,1.2102960305218688
DMC한양,디지털미디어시티,0.7386335637990403
DMC현대아파트,디지털미디어시티,0.4900545756163841
DUO302,신당,0.34344261983418006
EGSoulLeader,상봉(시외버스터미널),0.7059703421080805
FIRSTVIEW,수유(강북구청),1.4097456412327811
GS자이,마포,0.5234994559544225
GS파크뷰,신창(순천향대),143.91451932748538
G밸리마인드,구로디지털단지,0.28426749142978874
G밸리소홈,구로디지털단지,0.18157546402676825
G밸리페트라힐스,가산디지털단지,0.6419472688214093
HDX휴팰리스,녹번,0.6731578259147609
LG선릉에클라트(A),선릉,0.2824717375175448
LG선릉에클라트(B),선릉,0.2518761934578675
LG한강자이,이촌(국립중앙박물관),0.5244549415440762
LIG건영,상계,0.22268566583076524
LIG건영캐스빌,쌍문,0.7783020683785187
LIG대학마을(건영아파트3차),봉천,1.7246792332518748
LIPe-푸른아파트,신도림,0.44824207505746
M센트럴뷰,구로,0.6898065940709227
NS파인트리,잠실새내,0.25106800165015647
NS파크APT,화곡,0.12386957987023627
PLUMHILLS,매봉,0.23071324748311456
RudenHouse,신사,0.5686377375474267
SKVIEW,신도림,0.4675693547001246
SK리더스뷰(파스텔시티),사당,0.10894155179843787
SK리더스뷰남산,회현(남대문시장),0.21853620646152694
SK허브프리모,양재(서초구청),0.14762976604231665
SM엘루이,목동,0.5528969458969143
SM해그린,먹골,0.3709712336895674
SM해그린12차,길동,0.5973681869570598
SR친오애,대림(구로구청),0.44172855486389073
THESILK,영등포시장,0.5136766172511502
U-포그니,용마산,1.30111453941217
VIP(602-284),사당,0.6108164702351903
WS타워,봉천,0.691120244124589
YM프라젠,장한평,0.48992161403852813
YS홈타운,연신내,0.2680643783168411
aaa,신당,0.13434974154837945
e-편한세상,선릉,0.663370050438032
e편한세상,쌍문,0.6840360091616687
e편한세상 문래 에듀플라츠,양평,0.6437214152431101
e편한세상 수색 에코포레,증산(명지대앞),0.8938802512780224
e편한세상광진그랜드파크,어린이대공원(세종대),0.6872434242845279
e편한세상독산더타워,독산,0.6079879595036912
e편한세상마포리버파크,마포,0.28667949171171575
e편한세상백련산,응암,0.8037086536167005
e편한세상상도노빌리티,상도,0.2139623464512423
e편한세상서울대입구1단지,봉천,0.4813257152556129
e편한세상서울대입구2단지,봉천,0.7771692075853638
e편한세상서울대입구2차,봉천,0.5081583507073947
e편한세상신촌1단지,이대,0.3618122231847546
e편한세상신촌2단지,아현,0.14192774288390078
e편한세상신촌3단지,아현,0.26488391515495835
e편한세상신촌4단지,아현,0.07226946060139929
e편한세상염창,염창,0.468250028596925
e편한세상영등포아델포레,신풍,0.6740097830877985
urbanplace,강남,0.7210436567671339
가락(1차)쌍용아파트,경찰병원,0.28633434952183057
"가락3차쌍용스윗닷홈101동,102동",경찰병원,0.2642319397144966
가락금호아파트,가락시장,0.379395495790989
가락미륭아파트,경찰병원,0.39518053248140755
가락삼익맨숀,오금,0.5833176275112592
가락스타클래스,오금,0.169827970387837
가락쌍용(2차),오금,0.5277512353675166
가락우성2,경찰병원,0.4605110565305682
가락한일유앤아이,경찰병원,0.21534159531769434
가람,일원,0.2679925060180027
가산양우내안에애플,가산디지털단지,0.8223166292300349
가산지웰에스테이트,덕정,9.438826923225063
가산지웰에스테이트2차,가산디지털단지,0.8710148543847576
가산피어니빌,가산디지털단지,0.8392008817506234
가야써니빌,상봉(시외버스터미널),0.8232955673030657
가양2단지(성지),양천향교,0.6373917048661937
가양6단지,가양,0.43423515270657176
가양강나루현대,가양,0.18825429480014788
가양역두산위브,가양,0.5568063948977475
가양우성,가양,0.07992824900363119
가우디캐슬,장한평,0.21517905121263417
가우디트윈캐슬1,장한평,0.7927948058695222
가우디트윈캐슬2,장한평,0.7808403744043934
가화(424-59)나동,까치산,0.5945984258777028
갈현1단지e-편한세상,구산,1.0364004640678302
갈현동현대,연신내,0.7231321948232375
갈현현대,구산,1.0881626311488515
갑을아파트,홍제,2.4716222048595093
갑지하이린,둔촌동,0.520077715582499
강남 더샵 포레스트,수서,0.9337782704158979
강남데시앙파크,복정,2.478813443596347
강남데시앙포레,일원,0.78501278380948
강남상가,신사,0.2617412116181673
강남센트럴아이파크,선릉,0.46135337290818157
강남신동아파밀리에1단지,복정,2.4219873357734603
강남엘에이치1단지,복정,2.187220934601136
강남역우정에쉐르,강남,0.3497779940377215
강남자곡아이파크,수서,1.4431334055072487
강남한신휴플러스6단지,복정,1.9736755129667651
강남한양수자인(4단지),장지,1.2153291200097351
강동,화곡,0.8332512715802516
강동LG자이,길동,0.7863048373680261
강동다온채,둔촌동,0.6847168878408602
강동렘브란트,강동,0.3353869708578017
강동리버스트4단지,상일동,1.8507352603550615
강동리버스트8단지,상일동,1.999825376102857
강동역신동아파밀리에,강동,0.07200817770345151
강동역에스케이허브,강동,0.1159035410206127
강동와이시티,길동,0.26934931811396634
강동큐브,강동,0.3143516066155304
강동큐브(2차),강동,0.26002999311181013
강림스위트빌,마포구청,0.5478786152718346
강림스위트빌(A동),녹번,0.9641099886332836
강림월드타운,월드컵경기장(성산),0.6930769246108104
강변,가양,0.4555470364547632
강변건영아파트,뚝섬,0.8258166575415259
강변그대가갤럭시,암사,0.6278062345175895
강변그대가리버뷰,암사,0.4061938295211469
강변동양,뚝섬,1.0525469780609698
강변래미안,당산,0.6626207089661836
강변삼성스위트,마포,0.6703328033375197
강변월드메르디앙,증미,0.3748971946000431
강변한솔솔파크,증미,0.5636632469772628
강변한신코아,마포,0.42907323787555024
강변현대하이엘,강변(동서울터미널),0.24335615001216285
강변힐스테이트,염창,0.4829969006414324
강서그랜드아이파크주상복합,가양,0.8608538143463331
강서뉴타워,화곡,0.5190923524964199
강서동도센트리움,가양,0.7707973933218057
강서쌍용예가,등촌,0.4845409113366012
강서아이파크,우장산,1.127578866114218
강서크라운팰리스,우장산,1.1587760591963756
강서한강월드메르디앙,양천향교,0.27474709432160266
강서한강자이,가양,0.7239351762946961
강서힐스테이트,동인천,0.6494594107333407
강오(A동),중화,0.2862656919569624
강일리버파크2단지,상일동,1.6852624585050835
강일리버파크3단지,상일동,1.4398435772026783
강일리버파크4단지,상일동,1.4431382002381743
강일리버파크5단지,상일동,1.5385500257106854
강일리버파크6단지,상일동,1.1924856562257267
강일리버파크7단지,상일동,1.436517943228241
강일리버파크8단지,상일동,1.2034018938731752
강일리버파크9단지,상일동,1.2130785256023353
강촌,이촌(국립중앙박물관),0.4708331757903542
개나리,직산,67.12341651565691
개나리SK뷰,선릉,0.45007814481937364
개나리래미안,선릉,0.5995844424491376
개나리푸르지오,선릉,0.5148697172602271
개봉동현대아이파크,개봉,0.4959080456560343
개봉푸르지오,신도림,0.7044984891924768
개포래미안포레스트,매봉,1.3315383554169726
개포우성1,도곡,0.45108268314239264
개포우성2,도곡,0.45108268314239264
개포자이,대청,0.343984215357441
개포주공4단지,일원,1.099806524311145
개포주공5단지,대치,0.8893293148971114
개포주공6단지,대치,0.8058036073175908
개포주공7단지,대치,0.8058036073175908
개포한신,대청,0.2691943997824944
개화,방화,0.3582247665907958
개화산경남아너스빌,개화산,0.2754677865124549
갤러리아팰리스,잠실새내,0.6313199829428062
갤러리아포레,뚝섬,0.4943247164454456
갤럭시더정릉,길음,1.0145515570469155
거상장미,석수,0.9136130210505393
거상홈타운801동,석수,0.8390146128409991
거성,신도림,0.7624594448816991
거성리젠시,응암,0.25095177486838527
거성파스텔,선유도,0.6732352925029078
거성푸르뫼,오류동,0.6976285213537784
거성푸르뫼2,오류동,0.6040080168707875
거성학마을아파트,신창(순천향대),38.5181896879374
거성훼미리(29-68),화곡,0.8914549956254825
거여1단지,거여,0.2722166932475341
거여4단지,거여,0.40667507988031476
거여5단지,거여,0.45203550145785953
거장메카,역촌,0.6205606396811493
거장메카(116-22),응암,0.41652271263250035
거평프리젠,신논현,0.29806003942486214
건양,신도림,0.27565906581681654
건양노블레스빌,석계,0.2262113241145947
건영,오류동,0.8601798806301859
건영(103동-106동),노들,0.5693922881038386
건영1,구로,0.29347347699497445
건영2,중계,0.22976467508738435
건영2차,상봉(시외버스터미널),1.0130915503699414
건영2차아파트,상봉(시외버스터미널),0.7672408534404215
건영3,중계,0.9004833229986235
건영스타밸리,청량리(서울시립대입구),0.588750131702111
건영아모리움,강동,0.2352295582046175
건영장미아파트,공릉(서울과학기술대),0.46009498740082805
건영캐스빌,상봉(시외버스터미널),0.8646552455105537
건원베스트원,면목,0.1834475567099794
건일팰리스,충정로(경기대입구),0.6936143893415936
경남,구의(광진구청),1.107362872548037
