단지명,단위면적가격,도로명
개포6차우성아파트1동~8동,2734,언주로 3
개포래미안포레스트,3088,개포로 264
개포자이,1782,개포로109길 69
개포주공4단지,9024,삼성로 14
개포주공5단지,2838,삼성로4길 17
개포주공6단지,2289,개포로 516
개포주공7단지,2410,개포로 516
경남1,1747,언주로 110
경남2차,2418,언주로 110
디에이치아너힐즈,3975,삼성로 11
래미안블레스티지,3873,선릉로 8
삼익대청아파트,3051,개포로109길 21
새롬(1164-12),1527,논현로2길 34
성원대치2단지아파트,3273,개포로109길 9
우성8,2405,개포로 411
현대2,2168,언주로 107
현대아파트3,2147,개포로 409
거평프리젠,1385,강남대로112길 41
경남논현,1578,언주로116길 12
논현동월드메르디앙,1512,학동로38길 22
논현동한화꿈에그린,1278,논현로111길 39
논현아이파크,2321,언주로 615
더원센트럴,1904,학동로53길 3-8
동부센트레빌,2286,언주로116길 6
동양파라곤,1930,언주로130길 30
동현아파트1~6,1756,언주로146길 18
두산위브1단지,1991,학동로46길 38
두영,1098,논현로124길 8
로체샤르캐슬,1311,언주로136길 16
마일스디오빌,1125,학동로 165
신동아(22),2714,강남대로146길 28
쌍용,1250,도산대로50길 43
아크로힐스논현,2832,언주로 604
요진보네르,822,학동로5길 20
우민,1662,언주로136길 21
지고하임(101동),1062,학동로9길 21
펜트힐루논현,2372,언주로 641
한양수자인어반게이트,1325,봉은사로29길 35
한진로즈힐,2054,도산대로46길 21
한화꿈에그린2차,1651,봉은사로21길 19
(977-),3264,도곡로93길 23
개포우성1,3845,선릉로 120
개포우성2,2940,선릉로 120
대우아이빌멤버스(891-26),957,삼성로85길 42
대우아이빌명문가(891-23),1030,선릉로90길 56
대치SKVIEW,3204,삼성로51길 25
대치동우정에쉐르1,1356,삼성로85길 38
대치삼성,2619,도곡로78길 22
대치아이파크,3333,선릉로 222
"대치우성아파트1동,2동,3동,5동,6동,7동",2348,영동대로 230
대치현대,2894,삼성로64길 5
래미안대치팰리스,3604,삼성로51길 35
롯데캐슬,2476,삼성로85길 11
선경1차(1동-7동),2831,삼성로 151
선경2차(8동-12동),2969,삼성로 151
선경3차,2763,남부순환로395길 10
선릉역대우아이빌(890-49),950,테헤란로64길 9
쌍용대치2,2392,영동대로 220
"쌍용대치아파트1동,2동,3동,5동,6동",3361,영동대로 210
아름빌(889-74),983,선릉로86길 11
은마,3289,삼성로 212
청암빌라트,1656,남부순환로391길 7
테헤란로대우아이빌(891-6),1197,테헤란로 428
포스코더샵,2086,삼성로 417
한보미도맨션1,2996,삼성로 150
한보미도맨션2,2671,삼성로 150
현대1,2440,영동대로57길 28
PLUMHILLS,1019,남부순환로373길 26
SK허브프리모,1152,강남대로 240
그랜빌캐슬,1664,남부순환로379길 35
대림아크로빌,1952,언주로30길 13
대명비발디,1213,도곡로6길 18
대우디오빌,965,강남대로 256
도곡1차아이파크,2231,도곡로28길 8
도곡3차아이파크,1604,도곡로14길 21
도곡렉슬,3726,선릉로 221
도곡스타빌,1623,남부순환로370길 20
도곡쌍용예가,2093,남부순환로363길 30
도곡우성아파트,2679,남부순환로363길 49
도곡지웰카운티101동,1710,남부순환로373길 3
래미안도곡카운티,3349,도곡로 320
럭키(462),2633,남부순환로 2740
럭키(963),2804,논현로 213
매봉삼성,1795,언주로 203
삼성,1973,남부순환로379길 14
삼성래미안,2797,남부순환로 2803
삼익,2067,논현로 218
아카데미스위트1,1433,언주로30길 21
우성4,2434,언주로 117
우성사원5,3286,언주로29길 34
우성캐릭터199,1936,언주로 118
중명하니빌,1364,남부순환로365길 5
타워팰리스1,2890,언주로30길 56
타워팰리스2,2563,언주로30길 57
타워팰리스3,2500,언주로30길 26
포스코트,1975,남부순환로381길 15
한신엠비씨,2196,논현로 205
현대그린1,2226,논현로51길 25
현대비젼21,1603,언주로30길 10
현대향목빌라트,1270,남부순환로379길 26
힐데스하임빌라,2049,남부순환로377길 26
LG선릉에클라트(A),1042,선릉로100길 42
LG선릉에클라트(B),889,테헤란로63길 12
래미안라클래시,4119,삼성로 651
래미안삼성1차(103-22),2895,영동대로114길 56
레미안삼성1차(101동),2393,영동대로114길 56
롯데캐슬프레미어,2413,선릉로126길 22
삼성동롯데아파트,2975,학동로 432
삼성동롯데캐슬킹덤,1753,선릉로112길 53
삼성동브라운스톤레전드,2009,선릉로 660
삼성동센트럴아이파크,3525,삼성로 629
삼성동중앙하이츠빌리지,3143,학동로68길 30
삼성동헤렌하우스2(82-1),1910,영동대로128길 45
삼성동힐스테이트 1단지,4016,학동로68길 29
삼성월드타워,1905,학동로 408
상지리츠빌카일룸(65-4),2300,삼성로 636
신동아듀크빌,1461,봉은사로113길 33
쌍용플래티넘,1645,봉은사로 474
아델하우스,2275,학동로82길 29
아이파크,3448,영동대로 640
우림루미아트,1408,봉은사로81길 8
우정에쉐르,1603,선릉로130길 33
이안애빌,1670,봉은사로68길 65
진흥아파트,2126,학동로88길 5
채널리저브,2155,삼성로 517
풍림,882,테헤란로77길 22
현대힐스테이트2단지,2798,삼성로111길 8
강남데시앙파크,1399,헌릉로590길 63
강남신동아파밀리에1단지,1653,헌릉로590길 100
강남엘에이치1단지,1619,헌릉로571길 20
세곡푸르지오,1655,자곡로 21
강남 더샵 포레스트,2379,광평로34길 35
강남데시앙포레,2220,광평로34길 55
까치마을,2821,광평로19길 10
수서한아름,1411,광평로51길 22
신동아,2939,광평로47길 17
RudenHouse,1226,강남대로162길 41-8
강남상가,906,압구정로2길 46
대성아파트,1029,논현로151길 45
로데오현대,1690,압구정로50길 28
신사동씨티빌,917,강남대로162길 27-26
